building_downgrade_junctions_tables	0
from	to
ovn_wh2_main_rogue_settlement_major_1	ovn_wh2_main_rogue_settlement_major_1
ovn_wh2_main_rogue_settlement_major_2	ovn_wh2_main_rogue_settlement_major_2
ovn_wh2_main_rogue_settlement_major_3	ovn_wh2_main_rogue_settlement_major_3
ovn_wh2_main_rogue_settlement_major_coast_1	ovn_wh2_main_rogue_settlement_major_coast_1
ovn_wh2_main_rogue_settlement_major_coast_2	ovn_wh2_main_rogue_settlement_major_coast_2
ovn_wh2_main_rogue_settlement_major_coast_3	ovn_wh2_main_rogue_settlement_major_coast_3
ovn_wh2_main_rogue_settlement_minor_1	ovn_wh2_main_rogue_settlement_minor_1
ovn_wh2_main_rogue_settlement_minor_2	ovn_wh2_main_rogue_settlement_minor_2
ovn_wh2_main_rogue_settlement_minor_3	ovn_wh2_main_rogue_settlement_minor_3
ovn_wh2_main_rogue_settlement_minor_coast_1	ovn_wh2_main_rogue_settlement_minor_coast_1
ovn_wh2_main_rogue_settlement_minor_coast_2	ovn_wh2_main_rogue_settlement_minor_coast_2
ovn_wh2_main_rogue_settlement_minor_coast_3	ovn_wh2_main_rogue_settlement_minor_coast_3
